ID,load,frequency,HR,FAR,Acc,Acc_bsl,K,K_bsl,K_bsl_ave,RT,RT_bsl,RT_CoV,gender,age,country,response_key,dPrime,criterion
16,7,4,0.333333333333333,0.0666666666666667,0.633333333333333,-0.05,2,-0.257142857142857,-0.308860759493671,0.724272833333333,-0.179727380971257,0.162009470725087,Male,28,Italy,j,1.07035864674857,0.965906622669741
16,5,7,0.4,0,0.7,-0.0869565217391306,2,-0.48,-0.308860759493671,0.786192166666667,0.00446100493491399,0.270412304143524,Male,28,Italy,j,Inf,Inf
16,6,7,0.533333333333333,0.133333333333333,0.7,0.05,2.76923076923077,0.292307692307692,-0.0430379746835444,0.791821166666667,0.034512665408074,0.182551723052782,Male,28,Italy,j,1.19442335054391,0.513559941364828
16,7,7,0.466666666666667,0.133333333333333,0.666666666666667,0,2.69230769230769,0,-0.069620253164557,0.829107833333333,-0.0609968749268565,0.279953581911954,Male,28,Italy,j,1.02711988272966,0.597211675271957
17,5,0,0.266666666666667,0.333333333333333,0.466666666666667,0,-0.5,-0,-0.816326530612245,0.156579833333333,0,1.24087808120177,Female,20,Netherlands,f,-0.19219842391463,0.526826511252773
17,6,0,0.4,0.6,0.4,0,-3,-0,0.102040816326531,0.090571,0,1.12264687144621,Female,20,Netherlands,f,-0.5066942062716,-0
17,7,0,0.333333333333333,0.6,0.366666666666667,0,-4.66666666666667,-0,0.714285714285715,0.159699333333333,0,1.53664914415506,Female,20,Netherlands,f,-0.684074402431257,0.0886900980798289
17,5,4,0.6,0.533333333333333,0.533333333333333,0.142857142857143,0.714285714285714,-2.42857142857143,-1.26239067055394,0.4616445,1.94830113286194,0.822331207533392,Female,20,Netherlands,f,0.169695369228671,-0.168499418521464
17,6,4,0.466666666666667,0.2,0.633333333333333,0.583333333333333,2,-1.66666666666667,-1.73469387755102,0.550549833333334,5.07865468343436,1.01015381989938,Female,20,Netherlands,f,0.757969499665785,0.462636483740022
17,7,4,0.6,0.466666666666667,0.566666666666667,0.545454545454546,1.75,-1.375,-1.64285714285714,0.460243,1.88193438503187,0.847453569698569,Female,20,Netherlands,f,0.336998837042929,-0.0848476846143354
