version,block,frequency,jitter,trial,change,response,RT,loads,ID,gender,hand,age,fixCrossFrameB,targetFrameB,fixCrossFrameA,targetFrameA,resp_type
ChD_entr_4,6,4,false,28,1,Correct,0.414000760490452,4,S01,M,R,20,14,14,12,12,1
ChD_entr_4,6,4,false,29,0,Correct,0.404376725439508,6,S01,M,R,20,22,22,4,4,4
ChD_entr_4,6,4,false,30,0,Correct,0.38512524200537,4,S01,M,R,20,5,5,21,21,4
ChD_entr_4,6,4,false,31,0,Correct,0.346624664469259,6,S01,M,R,20,16,16,10,10,4
ChD_entr_4,6,4,false,32,1,Correct,0.414002125823898,4,S01,M,R,20,5,5,21,21,1
ChD_entr_4,6,4,false,33,1,Correct,0.645013441704694,5,S01,M,R,20,13,13,13,13,1
ChD_entr_4,6,4,false,34,1,Correct,0.645013783038056,4,S01,M,R,20,23,23,3,3,1
ChD_entr_4,6,4,false,35,0,Correct,0.519881530047185,6,S01,M,R,20,7,7,19,19,4
ChD_entr_4,6,4,false,36,0,Correct,0.346703853789591,6,S01,M,R,20,4,4,22,22,4
ChD_entr_4,6,4,false,37,0,Correct,0.394751325056028,4,S01,M,R,20,19,19,7,7,4
ChD_entr_4,6,4,false,38,1,Wrong,0.442877985642342,6,S01,M,R,20,3,3,23,23,2
ChD_entr_4,6,4,false,39,1,Wrong,0.462207975730089,5,S01,M,R,20,8,8,18,18,2
ChD_entr_4,6,4,false,40,0,Correct,0.433306857249255,4,S01,M,R,20,11,11,15,15,4
ChD_entr_4,6,4,false,41,1,Wrong,0.616135533886536,6,S01,M,R,20,17,17,9,9,2
ChD_entr_4,6,4,false,42,1,Correct,0.452502362026192,6,S01,M,R,20,4,4,22,22,1
ChD_entr_4,7,4,false,1,0,Correct,0.365874782570861,4,S01,M,R,20,26,26,0,0,4
ChD_entr_4,7,4,false,2,0,Correct,0.500629705279684,4,S01,M,R,20,13,13,13,13,4
ChD_entr_4,7,4,false,3,1,Wrong,0.491005328895379,5,S01,M,R,20,12,12,14,14,2
ChD_entr_4,7,4,false,4,0,Correct,0.462127421077221,5,S01,M,R,20,12,12,14,14,4
ChD_entr_4,7,4,false,5,0,Correct,0.529509319764196,6,S01,M,R,20,15,15,11,11,4
ChD_entr_4,7,4,false,6,0,Correct,0.433243369259918,6,S01,M,R,20,11,11,15,15,4
ChD_entr_4,7,4,false,7,0,Correct,0.654636111422192,4,S01,M,R,20,17,17,9,9,4
